Car_Name,Aspirational_Value,Age,km_driven,fuel,seller_type,transmission,owner,selling_price
Baleno,General,4,11212,Petrol,Trustmark_Dealer,Automatic,First_Owner,825000
i20,General,9,52000,Diesel,Dealer,Manual,First_Owner,280000
Baleno,General,6,49217,Petrol,Trustmark_Dealer,Manual,First_Owner,725000
Verito,General,7,90000,Diesel,Individual,Manual,First_Owner,300000
Xcent,General,7,70000,Petrol,Individual,Manual,First_Owner,375000
City,General,19,90000,Petrol,Individual,Manual,Fourth&Above Owner,310000
Swift,General,11,190000,Diesel,Individual,Manual,Third_Owner,375000
Endeavour,Premium,6,106000,Diesel,Individual,Automatic,First_Owner,1950000
Xenon,General,10,80000,Diesel,Individual,Manual,Second_Owner,400000
Terrano,General,8,80000,Diesel,Individual,Manual,Second_Owner,550000
Eeco,General,4,20000,Petrol,Individual,Manual,First_Owner,270000
Ertiga,General,10,110000,Diesel,Individual,Manual,Second_Owner,555000
Ecosport,Premium,9,60000,Diesel,Individual,Manual,Second_Owner,500000
Laura,General,12,130000,Diesel,Individual,Automatic,Second_Owner,400000
EON,General,5,28838,Petrol,Individual,Manual,First_Owner,280000
Indica,General,14,200000,Petrol,Individual,Manual,First_Owner,80000
Indica,General,16,100000,Diesel,Individual,Manual,First_Owner,55000
Alto,General,8,50000,Petrol,Individual,Manual,First_Owner,250000
Bolero,General,12,190000,Diesel,Individual,Manual,Fourth&Above Owner,250000
Jeep,General,15,100000,Diesel,Individual,Manual,Second_Owner,95000
Scorpio,Premium,8,135000,Diesel,Individual,Manual,Second_Owner,725000
Bolero,General,7,50000,Diesel,Individual,Manual,Third_Owner,320000
Octavia,General,8,135000,Diesel,Individual,Automatic,Third_Owner,1200000
Beat,General,10,50000,Diesel,Individual,Manual,First_Owner,160000
Jazz,General,4,19571,Diesel,Dealer,Manual,First_Owner,790000
City,General,4,29600,Petrol,Dealer,Manual,First_Owner,1200000
Swift,General,11,70000,Petrol,Individual,Manual,First_Owner,175000
Brezza,General,4,15000,Diesel,Individual,Automatic,First_Owner,950000
Celerio,General,3,50000,Petrol,Individual,Manual,First_Owner,340000
Captur,General,5,13500,Diesel,Individual,Manual,First_Owner,825000
A4,Premium,4,22000,Petrol,Individual,Automatic,First_Owner,3100000
Amaze,General,4,25000,Diesel,Dealer,Manual,First_Owner,780000
Corolla,Premium,12,80000,Petrol,Individual,Automatic,Third_Owner,350000
Amaze,General,4,39000,Petrol,Dealer,Manual,First_Owner,690000
Alto,General,6,60000,Petrol,Individual,Manual,First_Owner,245000
Amaze,General,4,49000,Diesel,Dealer,Manual,First_Owner,790000
Amaze,General,4,48600,Petrol,Dealer,Manual,First_Owner,680000
Grand_i10,General,5,20000,Petrol,Individual,Manual,Second_Owner,540000
KUV,General,6,25000,Petrol,Individual,Manual,First_Owner,425000
Zen,General,14,120000,Petrol,Individual,Manual,First_Owner,140000
Ertiga,General,3,30000,Diesel,Individual,Manual,First_Owner,1100000
Lodgy,General,7,35000,Diesel,Individual,Manual,First_Owner,715000
A4,Premium,9,86000,Diesel,Dealer,Automatic,First_Owner,1580000
Q3,Premium,7,127643,Diesel,Dealer,Automatic,First_Owner,1750000
Zest,General,4,54000,Petrol,Dealer,Manual,Second_Owner,400000
A6,Premium,8,102354,Diesel,Dealer,Automatic,First_Owner,1750000
Q5,Premium,8,62237,Petrol,Dealer,Automatic,First_Owner,1850000
Santro,General,17,90000,Petrol,Dealer,Manual,Second_Owner,114999
EcoSport,Premium,4,21394,Diesel,Dealer,Manual,First_Owner,950000
GO,General,7,32686,Petrol,Dealer,Manual,First_Owner,310000
Jeep,General,16,1001,Diesel,Dealer,Manual,First_Owner,575000
Pulse,General,5,22000,Diesel,Dealer,Manual,First_Owner,490000
Grand_i10,General,5,53261,Petrol,Dealer,Manual,First_Owner,480000
LandRover,Premium,6,53000,Diesel,Dealer,Automatic,First_Owner,3500000
KWID,General,4,10000,Petrol,Dealer,Manual,First_Owner,370000
Baleno,General,5,14000,Diesel,Dealer,Manual,First_Owner,835000
Polo,Premium,5,44000,Petrol,Dealer,Manual,First_Owner,650000
Etios,General,8,39895,Diesel,Dealer,Manual,First_Owner,670000
Cruze,General,5,73000,Diesel,Dealer,Automatic,First_Owner,950000
City,General,8,17000,Petrol,Dealer,Manual,First_Owner,690000
Polo,Premium,5,18591,Petrol,Dealer,Manual,First_Owner,670000
Nexon,General,5,26766,Diesel,Dealer,Manual,First_Owner,925000
EON,General,7,30000,Petrol,Individual,Manual,First_Owner,250000
Sumo,General,6,42000,Diesel,Individual,Manual,First_Owner,509999
City,General,8,110000,Diesel,Individual,Manual,First_Owner,520000
Indica,General,17,100000,Diesel,Individual,Manual,First_Owner,100000
Indica,General,16,300000,Diesel,Individual,Manual,Second_Owner,85000
Indigo,General,13,110000,Diesel,Individual,Manual,Third_Owner,130000
EcoSport,Premium,4,27620,Diesel,Dealer,Manual,First_Owner,950000
Figo,General,7,70000,Petrol,Individual,Manual,First_Owner,450000
City,General,10,50000,Petrol,Individual,Manual,Second_Owner,320000
Swift,General,7,50000,Diesel,Individual,Manual,First_Owner,480000
Mercedes_C_Class,Premium,8,46000,Diesel,Individual,Automatic,First_Owner,2490000
Innova,General,10,82000,Diesel,Individual,Manual,First_Owner,790000
Omni,General,6,120000,Petrol,Individual,Manual,First_Owner,120000
Alto,General,16,80000,Petrol,Individual,Manual,Third_Owner,75000
Indica,General,12,70000,Petrol,Individual,Manual,First_Owner,99000
S-Cross,General,4,20000,Diesel,Individual,Manual,First_Owner,1015000
Xylo,General,9,200000,Diesel,Individual,Manual,Second_Owner,250000
Innova,General,11,120000,Diesel,Individual,Manual,First_Owner,520000
Verna,General,4,30000,Diesel,Individual,Automatic,First_Owner,1100000
Innova,General,17,223000,Diesel,Individual,Manual,First_Owner,200000
Swift,General,6,60000,Diesel,Individual,Manual,First_Owner,525000
i20,General,6,40000,Petrol,Individual,Manual,First_Owner,500000
Scorpio,Premium,6,161327,Diesel,Individual,Manual,First_Owner,675000
i10,General,13,60000,Petrol,Individual,Manual,Third_Owner,150000
Bolero,General,15,50000,Diesel,Individual,Manual,First_Owner,250000
Grand_i10,General,4,6000,Petrol,Individual,Manual,First_Owner,450000
Santro,General,13,68000,Petrol,Individual,Manual,Second_Owner,150000
Beat,General,10,85000,Diesel,Individual,Manual,First_Owner,200000
Scorpio,Premium,11,70000,Diesel,Individual,Automatic,First_Owner,525000
Esteem,General,23,35000,Petrol,Individual,Manual,Second_Owner,60000
Swift,General,12,100000,Diesel,Individual,Manual,Second_Owner,180000
Amaze,General,7,110000,Diesel,Individual,Manual,First_Owner,475000
Scorpio,Premium,12,195000,Diesel,Individual,Automatic,Second_Owner,380000
Alto,General,7,46000,Petrol,Individual,Manual,Second_Owner,285000
Alto,General,14,60000,Petrol,Individual,Manual,Second_Owner,91200
RediGO,General,5,46000,Petrol,Individual,Manual,First_Owner,250000
Grand_i10,General,7,42000,Diesel,Individual,Manual,First_Owner,400000
Santro,General,16,90000,Petrol,Individual,Automatic,Second_Owner,160000
Yeti,Premium,10,85000,Diesel,Individual,Manual,Second_Owner,650000
Verna,General,10,120000,Diesel,Individual,Manual,Third_Owner,409999
Ecosport,Premium,9,72000,Diesel,Individual,Manual,First_Owner,425000
WagonR,General,9,71000,CNG,Individual,Manual,Second_Owner,250000
Swift,General,13,110000,Petrol,Individual,Manual,Fourth&Above Owner,200000
WagonR,General,9,71000,CNG,Individual,Manual,Second_Owner,250000
Polo,Premium,12,144000,Diesel,Individual,Manual,Fourth&Above Owner,130000
Eeco,General,5,30000,Petrol,Dealer,Manual,First_Owner,260000
Verna,General,15,65000,Petrol,Dealer,Manual,First_Owner,155000
Jazz,General,7,38000,Diesel,Individual,Manual,First_Owner,450000
SX4,General,10,90000,Petrol,Individual,Manual,Second_Owner,220000
i20,General,4,37000,Diesel,Dealer,Manual,First_Owner,650000
Alto,General,4,30000,Petrol,Dealer,Manual,First_Owner,285000
Amaze,General,4,26000,Petrol,Dealer,Automatic,First_Owner,725000
Ciaz,General,6,30000,Petrol,Dealer,Manual,First_Owner,625000
i20,General,6,23000,Petrol,Dealer,Manual,First_Owner,550000
i10,General,10,40000,Petrol,Dealer,Manual,First_Owner,240000
Terrano,General,8,27000,Diesel,Dealer,Manual,First_Owner,600000
Safari,Premium,10,65000,Diesel,Dealer,Manual,First_Owner,350000
EON,General,7,32000,Petrol,Dealer,Manual,First_Owner,245000
Bolero,General,6,56000,Diesel,Dealer,Manual,First_Owner,600000
X1,Premium,5,30000,Diesel,Individual,Automatic,First_Owner,2400000
Scorpio,Premium,8,80000,Diesel,Dealer,Manual,First_Owner,620000
Swift,General,8,52000,Petrol,Dealer,Manual,Second_Owner,395000
Ertiga,General,8,13250,Petrol,Dealer,Manual,First_Owner,635000
Alto,General,11,36000,Petrol,Dealer,Manual,First_Owner,180000
Swift,General,7,73000,Diesel,Dealer,Manual,Second_Owner,484999
Alto,General,18,60000,Petrol,Individual,Manual,First_Owner,110000
WagonR,General,16,60000,Petrol,Individual,Manual,Second_Owner,150000
Tavera,General,10,110000,Diesel,Individual,Manual,First_Owner,400000
Indica,General,10,70000,Diesel,Individual,Manual,Second_Owner,200000
Duster,Premium,9,60000,Diesel,Individual,Manual,Second_Owner,302000
Swift,General,11,90000,Diesel,Individual,Manual,Fourth&Above Owner,215000
WagonR,General,18,80000,Petrol,Individual,Manual,Second_Owner,155000
Innova,General,8,101000,Diesel,Individual,Manual,Second_Owner,1000000
Bolero,General,4,44000,Diesel,Individual,Manual,First_Owner,550000
Swift,General,16,45000,Petrol,Individual,Manual,First_Owner,200000
Scorpio,Premium,5,120000,Diesel,Individual,Manual,First_Owner,750000
Zen,General,17,90000,Petrol,Individual,Manual,Second_Owner,90000
WagonR,General,15,120000,Petrol,Individual,Manual,Second_Owner,80000
EON,General,9,13500,Petrol,Individual,Manual,First_Owner,229999
KWID,General,5,10000,Petrol,Individual,Manual,First_Owner,350000
Grand_i10,General,7,25000,Petrol,Individual,Manual,Third_Owner,325000
Tigor,General,4,8500,Petrol,Individual,Manual,First_Owner,450000
SX4,General,10,120000,Diesel,Individual,Manual,First_Owner,250000
Polo,Premium,10,120000,Diesel,Individual,Manual,First_Owner,225000
Alto,General,13,90246,Petrol,Individual,Manual,Third_Owner,150000
Alto,General,14,90000,Petrol,Individual,Manual,Second_Owner,110000
Alto,General,12,40000,Petrol,Individual,Manual,Second_Owner,150000
Gypsy,General,22,60000,Petrol,Individual,Manual,Fourth&Above Owner,165000
Duster,Premium,5,32000,Diesel,Individual,Manual,Second_Owner,610000
Manza,General,9,60400,Diesel,Individual,Manual,First_Owner,170000
Verna,General,14,70950,Diesel,Individual,Manual,Second_Owner,150000
i20,General,9,90000,Diesel,Individual,Manual,First_Owner,300000
Xcent,General,7,72000,Diesel,Individual,Manual,First_Owner,375000
Swift,General,9,90000,Diesel,Individual,Manual,First_Owner,390000
i20,General,5,10000,Petrol,Individual,Manual,First_Owner,600000
Alto,General,8,25000,Petrol,Individual,Manual,Second_Owner,204999
Verna,General,13,80000,Diesel,Individual,Manual,Second_Owner,270000
Grand_i10,General,5,10000,Petrol,Individual,Manual,First_Owner,375000
Baleno,General,2,1100,Petrol,Individual,Manual,First_Owner,700000
Swift,General,5,40000,Petrol,Individual,Manual,First_Owner,455000
i10,General,5,10000,Petrol,Individual,Manual,First_Owner,375000
Grand_i10,General,8,31491,Petrol,Individual,Manual,First_Owner,341000
Swift,General,8,107143,Diesel,Individual,Manual,Second_Owner,200000
Ignis,General,5,15000,Petrol,Individual,Automatic,First_Owner,450000
Santro,General,10,50000,Petrol,Individual,Manual,Second_Owner,170000
Innova,General,5,100000,Diesel,Individual,Manual,First_Owner,1900000
Bolero,General,6,60000,Diesel,Individual,Manual,First_Owner,500000
Brezza,General,6,85000,Diesel,Individual,Manual,First_Owner,819999
Swift,General,8,40000,Petrol,Individual,Manual,Second_Owner,351000
i10,General,11,80000,Petrol,Individual,Manual,Second_Owner,195000
Swift,General,14,82000,Diesel,Individual,Manual,Second_Owner,250000
Zen,General,14,70000,Petrol,Individual,Manual,Second_Owner,120000
A-Star,General,13,70000,Petrol,Individual,Manual,Third_Owner,180000
KUV,General,6,20000,Diesel,Individual,Manual,First_Owner,430000
Nano,General,10,35000,Petrol,Individual,Manual,Second_Owner,75000
Xylo,General,5,80000,Diesel,Individual,Manual,First_Owner,750000
Nano,General,11,40000,Petrol,Individual,Manual,First_Owner,60000
Innova,General,7,46412,Diesel,Individual,Manual,First_Owner,1500000
Bolero,General,11,150000,Diesel,Individual,Manual,Fourth&Above Owner,390000
TUV,General,6,50000,Diesel,Individual,Manual,First_Owner,630000
Safari,Premium,4,15000,Diesel,Individual,Manual,First_Owner,1085000
i10,General,10,60000,Petrol,Individual,Manual,Second_Owner,190000
Baleno,General,4,25000,Petrol,Individual,Automatic,First_Owner,550000
Alto,General,10,90000,Petrol,Individual,Manual,Third_Owner,200000
Spark,General,11,60000,Petrol,Individual,Manual,First_Owner,165000
Figo,General,9,65000,Diesel,Individual,Manual,First_Owner,260000
Alto,General,11,40000,Petrol,Individual,Manual,First_Owner,151000
Brezza,General,4,50000,Diesel,Individual,Manual,First_Owner,780000
Indica,General,10,80000,Diesel,Individual,Manual,Third_Owner,175000
Indica,General,12,107500,Diesel,Dealer,Manual,First_Owner,170000
Indica,General,9,135000,Diesel,Dealer,Manual,Second_Owner,210000
Alto,General,15,43826,Petrol,Dealer,Manual,Second_Owner,90000
i20,General,6,55838,Petrol,Dealer,Manual,First_Owner,535000
Swift,General,15,112880,Diesel,Dealer,Manual,First_Owner,195000
Indica,General,11,90000,Diesel,Individual,Manual,Third_Owner,140000
Sunny,General,10,40000,Petrol,Individual,Manual,First_Owner,350000
Verna,General,9,66000,Petrol,Individual,Manual,First_Owner,425000
KWID,General,5,30300,Petrol,Individual,Manual,First_Owner,300000
Vento,General,9,85000,Diesel,Individual,Manual,Second_Owner,340000
Swift,General,13,80659,Petrol,Dealer,Manual,First_Owner,250000
Aveo,General,14,81324,Petrol,Dealer,Manual,First_Owner,170000
Amaze,General,9,127884,Diesel,Dealer,Manual,First_Owner,315000
Beat,General,7,50000,Petrol,Individual,Manual,First_Owner,200000
Beat,General,6,25000,Petrol,Individual,Manual,First_Owner,300000
Amaze,General,7,66755,Diesel,Dealer,Manual,First_Owner,300000
City,General,9,123084,Petrol,Dealer,Manual,First_Owner,380000
Swift,General,13,806599,Petrol,Dealer,Manual,First_Owner,250000
Amaze,General,9,95851,Diesel,Dealer,Manual,First_Owner,310000
WagonR,General,12,50000,Petrol,Individual,Manual,First_Owner,260000
Omni,General,14,50000,Petrol,Individual,Manual,Second_Owner,150000
Esteem,General,16,60000,Petrol,Individual,Manual,Second_Owner,85000
Alto,General,7,15000,Petrol,Individual,Manual,Second_Owner,280000
Xylo,General,6,40000,Diesel,Individual,Manual,First_Owner,850000
GO,General,5,20000,Petrol,Individual,Manual,Second_Owner,375000
Elantra,General,16,120000,Diesel,Individual,Manual,Third_Owner,125000
Beat,General,10,110000,Diesel,Individual,Manual,First_Owner,250000
Corolla,Premium,8,234000,Diesel,Individual,Manual,First_Owner,715000
i20,General,11,70000,Diesel,Individual,Manual,First_Owner,220000
Indica,General,12,110000,Diesel,Individual,Manual,Second_Owner,110000
Verna,General,15,84000,Petrol,Individual,Manual,Second_Owner,150000
Sunny,General,10,170000,Diesel,Individual,Manual,First_Owner,300000
RediGO,General,5,40000,Petrol,Individual,Manual,First_Owner,220000
WagonR,General,16,96000,Petrol,Individual,Manual,Second_Owner,75000
Indigo,General,13,20000,Diesel,Individual,Manual,First_Owner,100000
Figo,General,6,15000,Petrol,Individual,Manual,First_Owner,380000
Santro,General,15,50000,Petrol,Individual,Manual,First_Owner,100000
Passat,Premium,12,80000,Petrol,Individual,Manual,Second_Owner,480000
Etios,General,10,124000,Diesel,Individual,Manual,First_Owner,300000
Beat,General,9,70000,Diesel,Individual,Manual,First_Owner,190000
Figo,General,10,130000,Diesel,Individual,Manual,Second_Owner,190000
EcoSport,Premium,5,19014,Petrol,Dealer,Manual,First_Owner,650000
Corolla,Premium,13,23262,Petrol,Dealer,Manual,First_Owner,300000
Ford_Freestyle,General,6,29600,Diesel,Dealer,Manual,First_Owner,700000
i10,General,7,35925,Petrol,Dealer,Manual,First_Owner,310000
Ignis,General,4,12000,Petrol,Individual,Manual,First_Owner,500000
Etios,General,9,40771,Petrol,Dealer,Manual,First_Owner,415000
Celerio,General,7,30500,Petrol,Dealer,Automatic,Second_Owner,395000
Etios,General,8,42000,Petrol,Dealer,Manual,Second_Owner,430000
Corolla,Premium,15,55800,Petrol,Dealer,Manual,Second_Owner,215000
Duster,Premium,8,66569,Diesel,Dealer,Manual,First_Owner,550000
Polo,Premium,8,81358,Diesel,Dealer,Manual,First_Owner,415000
Polo,Premium,7,82695,Diesel,Dealer,Manual,First_Owner,450000
Figo,General,8,68293,Diesel,Dealer,Manual,Second_Owner,285000
Jazz,General,6,32000,Petrol,Dealer,Automatic,First_Owner,580000
Swift,General,8,190621,Diesel,Dealer,Manual,First_Owner,300000
Verna,General,4,60000,Diesel,Individual,Manual,First_Owner,1200000
Maruti 800,General,16,64700,Petrol,Individual,Manual,First_Owner,78000
Maruti 800,General,20,100000,Petrol,Individual,Manual,Second_Owner,65000
Zest,General,6,88470,Diesel,Individual,Manual,First_Owner,400000
Verna,General,6,75000,Diesel,Individual,Manual,First_Owner,850000
Vento,General,9,120000,Diesel,Individual,Manual,Second_Owner,450000
E-Class,Premium,10,35000,Diesel,Individual,Automatic,First_Owner,2500000
Etios,General,5,70000,Diesel,Individual,Manual,First_Owner,780000
Fortuner,Premium,5,57000,Diesel,Individual,Automatic,First_Owner,3200000
Alto,General,2,1000,Petrol,Individual,Manual,First_Owner,350000
Quanto,General,9,120000,Diesel,Individual,Manual,Second_Owner,285000
Vento,General,7,98000,Diesel,Dealer,Manual,First_Owner,525000
Ciaz,General,8,90000,Diesel,Dealer,Manual,Second_Owner,550000
Ameo,General,4,70000,Diesel,Individual,Manual,First_Owner,580000
Nano,General,9,25000,Petrol,Individual,Manual,Third_Owner,75000
Manza,General,13,60000,Diesel,Individual,Manual,Third_Owner,185000
Omni,General,15,90000,Petrol,Individual,Manual,Fourth&Above Owner,110000
City,General,18,200000,Petrol,Individual,Manual,Second_Owner,180000
Polo,Premium,12,110000,Diesel,Individual,Manual,Second_Owner,350000
Optra,General,17,126000,Petrol,Individual,Manual,Second_Owner,60000
TUV,General,4,70000,Diesel,Individual,Manual,First_Owner,695000
Alturas,General,3,5000,Diesel,Individual,Automatic,First_Owner,2700000
Zen,General,15,74183,Petrol,Individual,Manual,Second_Owner,135000
Bolero,General,7,70000,Diesel,Individual,Manual,Second_Owner,640000
Alto,General,8,90000,Petrol,Individual,Manual,First_Owner,160000
Indica,General,18,46000,Petrol,Individual,Manual,Second_Owner,80000
Swift,General,9,110000,Diesel,Individual,Manual,Second_Owner,340000
Ritz,General,10,80000,Diesel,Individual,Manual,Second_Owner,110000
Sumo,General,9,90000,Diesel,Individual,Manual,Second_Owner,250000
Innova,General,5,70000,Diesel,Individual,Manual,First_Owner,1300000
Quanto,General,8,1,Diesel,Individual,Manual,Second_Owner,250000
Innova,General,13,192000,Diesel,Individual,Manual,First_Owner,450000
WagonR,General,9,70000,Petrol,Individual,Manual,Fourth&Above Owner,240000
Bolero,General,15,120000,Diesel,Individual,Manual,Second_Owner,225000
WagonR,General,7,60000,Petrol,Individual,Manual,Second_Owner,275000
Sumo,General,10,120000,Diesel,Individual,Manual,Second_Owner,320000
Alto,General,14,120000,Petrol,Individual,Manual,First_Owner,75000
Indica,General,15,50000,Petrol,Individual,Manual,Second_Owner,85000
Indica,General,13,120000,Diesel,Individual,Manual,First_Owner,90000
WagonR,General,15,80000,Petrol,Individual,Manual,Second_Owner,85000
Scorpio,Premium,14,80000,Diesel,Individual,Manual,Second_Owner,350000
Superb,General,13,100000,Diesel,Individual,Automatic,Second_Owner,355000
Swift,General,2,1500,Petrol,Individual,Manual,First_Owner,619000
Compass,Premium,4,50000,Diesel,Individual,Manual,First_Owner,1700000
Indica,General,16,100000,Diesel,Individual,Manual,Second_Owner,55000
Fiesta,General,16,83411,Petrol,Individual,Manual,First_Owner,95000
Vento,General,11,120000,Diesel,Individual,Manual,Second_Owner,300000
Fiesta,General,16,83411,Petrol,Individual,Manual,First_Owner,81000
Superb,General,7,80000,Diesel,Individual,Automatic,Second_Owner,1000000
Ertiga,General,3,50000,Diesel,Individual,Manual,First_Owner,925000
Bolero,General,7,40000,Diesel,Individual,Manual,First_Owner,450000
Scorpio,Premium,8,13270,Diesel,Individual,Manual,First_Owner,600000
Santro,General,16,100000,Petrol,Individual,Automatic,Third_Owner,85000
Thar,General,6,50000,Diesel,Individual,Manual,First_Owner,700000
Grand_i10,General,5,26500,Petrol,Individual,Manual,First_Owner,486000
Swift,General,9,90000,Diesel,Individual,Manual,First_Owner,400000
Fiesta,General,14,100000,Petrol,Individual,Manual,Third_Owner,120000
Alto,General,4,35000,Petrol,Individual,Manual,First_Owner,275000
i20,General,6,57000,Diesel,Individual,Manual,First_Owner,580000
Swift,General,7,70000,Petrol,Individual,Manual,First_Owner,375000
WagonR,General,7,100000,Petrol,Individual,Manual,Third_Owner,229999
Alto,General,12,88000,Petrol,Individual,Manual,Second_Owner,110000
Swift,General,5,60000,Diesel,Individual,Manual,First_Owner,600000
A-Star,General,13,76000,Petrol,Individual,Manual,Second_Owner,120000
Figo,General,12,100000,Diesel,Individual,Manual,Second_Owner,200000
Verna,General,10,110000,Diesel,Individual,Manual,Second_Owner,450000
Verna,General,10,80000,Diesel,Individual,Manual,Second_Owner,550000
Alto,General,10,80000,Petrol,Individual,Manual,Second_Owner,220000
Maruti 800,General,21,30000,Petrol,Individual,Manual,First_Owner,40000
KWID,General,5,20000,Petrol,Individual,Automatic,First_Owner,300000
Bolero,General,4,40000,Diesel,Individual,Manual,First_Owner,630000
Swift,General,5,40000,Diesel,Individual,Manual,Second_Owner,610000
Xcent,General,3,7000,Petrol,Individual,Manual,Second_Owner,660000
WagonR,General,10,80000,LPG,Individual,Manual,Second_Owner,220000
Micra,General,11,90000,Diesel,Individual,Manual,Second_Owner,138000
Micra,General,9,13770,Diesel,Individual,Manual,First_Owner,210000
Zen,General,17,34000,Petrol,Dealer,Manual,First_Owner,125000
Alto,General,14,102000,Petrol,Dealer,Manual,First_Owner,125000
City,General,8,110000,Diesel,Individual,Manual,First_Owner,725000
Alto,General,11,90000,Petrol,Individual,Manual,Second_Owner,170000
Innova,General,7,70000,Diesel,Individual,Manual,Third_Owner,1200000
WagonR,General,19,90000,Petrol,Individual,Manual,Second_Owner,70000
Alto,General,15,70000,Petrol,Individual,Manual,Second_Owner,100000
Civic,Premium,16,80000,Petrol,Individual,Manual,Second_Owner,300000
Swift,General,9,100000,Diesel,Individual,Manual,Second_Owner,450000
Swift,General,7,100000,Diesel,Individual,Manual,First_Owner,530000
Zen,General,15,143000,Petrol,Individual,Manual,Third_Owner,100000
City,General,12,115000,Petrol,Individual,Manual,Second_Owner,350000
Manza,General,11,100000,Diesel,Individual,Manual,Second_Owner,165000
Swift,General,3,120000,Diesel,Individual,Manual,Second_Owner,475000
Xylo,General,9,42000,Diesel,Individual,Manual,First_Owner,350000
KWID,General,6,38000,Petrol,Individual,Manual,First_Owner,229999
WR-V,Premium,4,35000,Diesel,Individual,Manual,First_Owner,800000
Swift,General,8,120000,Diesel,Individual,Manual,Second_Owner,475000
Terrano,General,8,136906,Diesel,Individual,Manual,First_Owner,425000
Ciaz,General,7,97000,Diesel,Individual,Manual,Second_Owner,660000
Amaze,General,3,10000,Petrol,Individual,Automatic,First_Owner,610000
Brio,General,9,50000,Petrol,Individual,Manual,Third_Owner,240000
Esteem,General,17,60000,Petrol,Individual,Manual,Second_Owner,70000
Corolla,Premium,11,120000,Diesel,Individual,Manual,First_Owner,550000
Indica,General,12,120000,Petrol,Individual,Manual,Second_Owner,100000
Bolero,General,12,90000,Diesel,Individual,Manual,Second_Owner,350000
EON,General,9,120000,Petrol,Individual,Manual,First_Owner,200000
Elite,General,3,3000,Petrol,Individual,Automatic,First_Owner,720000
Ritz,General,8,133000,Diesel,Individual,Manual,First_Owner,350000
WagonR,General,6,25000,Petrol,Individual,Manual,First_Owner,400000
i20,General,5,35000,Petrol,Individual,Manual,First_Owner,570000
Omni,General,7,70000,Petrol,Individual,Manual,First_Owner,130000
Alto,General,6,52000,Petrol,Individual,Manual,First_Owner,210000
Creta,Premium,4,52000,Diesel,Individual,Manual,First_Owner,800000
Jazz,General,5,39000,Diesel,Individual,Manual,First_Owner,700000
Indica,General,11,28689,Diesel,Individual,Manual,First_Owner,200000
Aria,General,8,90000,Diesel,Individual,Manual,Second_Owner,495000
Fiesta,General,8,80322,Diesel,Dealer,Manual,First_Owner,325000
Ford_Freestyle,General,3,8000,Petrol,Individual,Manual,First_Owner,650000
Jeep,General,22,50000,Diesel,Individual,Manual,Second_Owner,155000
Maruti 800,General,15,90000,Petrol,Individual,Manual,Second_Owner,75000
Grand_i10,General,7,61658,Diesel,Dealer,Manual,First_Owner,350000
Zen,General,12,50000,Petrol,Individual,Manual,Third_Owner,90000
Ertiga,General,6,80000,Diesel,Individual,Manual,First_Owner,600000
Scorpio,Premium,12,185000,Diesel,Individual,Manual,First_Owner,400000
Swift,General,8,57000,Diesel,Individual,Manual,Second_Owner,370000
Maruti 800,General,22,60000,Petrol,Individual,Manual,First_Owner,50000
City,General,18,120000,Petrol,Individual,Manual,Second_Owner,125000
CR-V,Premium,4,26000,Diesel,Individual,Automatic,First_Owner,1800000
Grand_i10,General,3,20000,Petrol,Individual,Automatic,First_Owner,650000
Ertiga,General,5,30600,Petrol,Individual,Automatic,First_Owner,800000
Polo,Premium,2,5000,Petrol,Individual,Manual,First_Owner,802000
A4,Premium,7,35000,Diesel,Individual,Automatic,Third_Owner,2300000
Xcent,General,6,35000,Diesel,Individual,Manual,First_Owner,430000
Verna,General,5,23000,Petrol,Individual,Manual,First_Owner,650000
Scorpio,Premium,18,120000,Diesel,Individual,Manual,First_Owner,170000
Superb,General,11,235000,Diesel,Individual,Automatic,First_Owner,450000
Alto,General,9,87000,Petrol,Individual,Manual,First_Owner,250000
Ecosport,Premium,8,72000,Petrol,Individual,Manual,Second_Owner,550000
Jaguar,Premium,9,64000,Diesel,Individual,Automatic,Second_Owner,2000000
Zen,General,15,100000,Petrol,Individual,Manual,Second_Owner,140000
Beat,General,10,12000,Petrol,Individual,Manual,First_Owner,155000
Accent,General,12,67000,Petrol,Individual,Manual,Third_Owner,120000
Innova,General,10,70000,Diesel,Individual,Manual,First_Owner,287000
Baleno,General,6,60000,Diesel,Individual,Manual,First_Owner,675000
i10,General,11,74500,Petrol,Individual,Manual,Second_Owner,235000
i20,General,11,118700,Diesel,Individual,Manual,Second_Owner,300000
Micra,General,7,40000,Petrol,Individual,Automatic,Second_Owner,434999
Scorpio,Premium,18,223660,Diesel,Individual,Automatic,Third_Owner,225000
Corolla,Premium,16,140000,Petrol,Individual,Manual,Second_Owner,160000
Grand_i10,General,2,5000,Petrol,Individual,Manual,First_Owner,600000
Tavera,General,6,100000,Diesel,Individual,Manual,Second_Owner,470000
Swift,General,11,100000,Petrol,Individual,Manual,Second_Owner,300000
Baleno,General,4,2000,Petrol,Individual,Manual,First_Owner,600000
Grand_i10,General,2,4000,Petrol,Individual,Automatic,First_Owner,640000
Indica,General,16,120000,Diesel,Individual,Manual,Fourth&Above Owner,50000
Verna,General,7,35000,Petrol,Individual,Manual,First_Owner,600000
i10,General,8,29000,LPG,Individual,Manual,First_Owner,290000
Verna,General,7,30000,Petrol,Individual,Manual,First_Owner,600000
